Título,Link,Endereço,Especificações,Observações,Preço,Metrô mais próximo,Metrõ mais Rapido,Distancia,Duração
Vila Sônia - Apartamento 1 Dorm Com Sacada - 600 m Do Metrô Linha Amarela,/propriedades/vila-sonia-apartamento-1-dorm-com-sacada-600-m-do-2946986563.html,"Rua Caminho do Engenho, 284 284, Ferreira, São Paulo",37 m² área total 27 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Fale comigo. (11) Ver dados whatsapp. Apartamento 1 Dorm Com Sacada - Vila Sônia, Butantã - Perto Do Metrô Vila Sônia - 1 Dormitório - Minha Casa Minha Vida - Doc. Grátis - Futura Estação Vila Sônia. grande oportunidade na vila SÔnia ao lado da futura estação vila SÔnia! Realize seu sonho e saia do aluguel, oportunidade de morar na vila SÔnia ao lado do metrÔ! 1 dormitório, 0 e 1 vaga de garagem lazer completo! Entrada facilitada a partir de 2. 900, 00 e mensais a partir de 590, 00!! Use seu fgts! Direto com a construtora, se antecipe e garanta já sua unidade com condições especiais. Localização maravilhosa ao lado da Anchieta, 4km do terminal Sacomã, 6km do metro São Judas, varias linhas de ónibus próximo a rua do apartamento, restaurantes, bancos, mercados, . Documentação grátis, ganhe até 29 mil de subsidio, mande sua documentação para analise de financiamento com a caixa, segue documentos solicitados: *rg, *cpf, *Comprovante de renda, *Certidão estado civil, *Comprovante de endereço, *Carteira de trabalho, *fgts, *Imposto de renda! Não percam tempo! Perto da Futura Estação Vila Sônia, Metrô Butantã estão outros importantes espaços da capital. No bairro o deslocamento é bastante facilitado pela Av. Eliseu de Almeida. Atendem a área as estações de Estação Vila Sônia e Estação Butantã, além de diversas linhas de ônibus.",R$ 149.900,Sao Paulo Morumbi,Sao Paulo Morumbi,4061,4061
Loft/studio na Água Branca - Impecável!,/propriedades/loft-studio-na-agua-branca-impecavel!-2937539089.html,"Avenida Francisco Matarazzo, Água Branca, São Paulo",36 m² área total 28 m² área útil 1 Quarto 1 Banheiro,"Loft/Studio, sem garagem, com área privativa de 28 m2 e área total de 36 m2, localizado na Avenida Francisco Matarazzo. O imóvel está impecável! Acabamentos de primeira qualidade e super aconchegante. Excelente localização, com fácil acesso ao centro da cidade por meio de ônibus ou metrô!! Tem tudo perto do imóvel: metrô, ônibus, lojas, supermercados, padarias, Parque da Água Branca, Shopping West Plaza, Universidade Uninove e do Senac. Agende sua visita! Paulo - creci 175. 830",R$ 280.000,Palmeiras Barra Funda,Palmeiras Barra Funda,1363,1363
Ed. Virgínia Gardens - Vila Ema,/propriedades/ed.-virginia-gardens-vila-ema-2947727497.html,"Solidonio Leite 2315, Vila Ema, São Paulo",65 m² área total 65 m² área útil 3 Quartos 1 Banheiro 1 Vaga,"Ed. Virginia Gardens. Apartamento com 3 dormitórios, 01 vaga de garagem livre. Móvel embutido nos quartos e cozinha. Sala com sanca e rebaixamento de teto com iluminação. Andar alto com vista para Solidônio Leite. Areá de lazer completa menos piscina. Portaria 24 hrs.",R$ 315.000,Sao Lucas,Sao Lucas,1363,1363
"""Apartamento Mobiliado, Pronto para Mudar""",/propriedades/-apartamento-mobiliado-pronto-para-mudar-2946202868.html,"Rua Itaiteva 125 14, Jardim Ampliação, São Paulo",89 m² área total 58 m² área útil 1 Quarto 2 Banheiros 2 Vagas,"58m², 2 vagas. ""Mobiliado"" Sacada, living integrado com a cozinha, lavabo, área de serviço e uma confortável suíte. Condomínio com boa área de lazer. Agende sua visita!",R$ 375.000,Giovanni Gronchi,Giovanni Gronchi,2566,2566
Chácara Santo Antonio - Apartamento 1 Dorm Com Sacada - Granja Julieta,/propriedades/chacara-santo-antonio-apartamento-1-dorm-com-sacada-2946145183.html,"Rua Luiz Seráphico Júnior, 430 430, Jardim Caravelas, São Paulo",37 m² área total 27 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Olá sou o carrapa. Para maiores informações. (11) Ver dados whatsapp. grande oportunidade na chácara santo antonio. Realize seu sonho e saia do aluguel, oportunidade de morar na chácara santo antonio! Dormitório com sacada, 0 e 1 vaga de garagem lazer completo! Entrada facilitada a partir de 2. 900, 00 e mensais a partir de 590, 00!! Use seu fgts! Direto com a construtora, se antecipe e garanta já sua unidade com condições especiais. Localização maravilhosa ao lado da Marginal Pinheiros, 6 minutos da estação Granja Julieta, shopping parque cidade, carrefour, shopping morumbi, Praça Ponte Laguna. Documentação grátis, ganhe até 29 mil de subsidio, mande sua documentação para analise de financiamento com a caixa, segue documentos solicitados: *rg, *cpf, *Comprovante de renda, *Certidão estado civil, *Comprovante de endereço, *Carteira de trabalho, *fgts, *Imposto de renda! Não percam tempo! No bairro o deslocamento é bastante facilitado pela Marginal Pinheiros, Adolfo Pinheiro, Avenida das Nações Unidades, Etc. Como funciona O sistema? R: sistema direto com A caixa apuramos sua renda podendo colocar ate 4 pessoas, fgts E data de nascimento do mais velho, O proprio sistema vai liberar um valor de financiamento, O valor da diferenca que sobrar sera A entrada ou seja tudo que A caixa nao financiar sera A entrada com opcao de parcelamento de ate 24 vezes com entrada E parcelas facilitadas. venha fazer uma simulacao sem compromisso! E conquiste ja seu grande seu sonho da casa propria! ligue ja E agende uma visita! Subsídio de até R$ 27. 500 do governo. Torres altas com elevador. Lazer e Segurança de condomínio. Fácil acesso ao transporte público. Vem conquistar o que é seu. Torres altas com elevador. - Lazer e Segurança de condomínio. - Fácil acesso ao transporte público. Metragens. facil rapido E bem localizado: Futura estação Vila Sônia. 6 minutos. Estação Butantã do Metrô 12min. Av Francisco Morato. 10 miutos. tudo proximo de voce! *academias. *bancos. *escolas. *escola de indiomas. *faculdades. *farmacias. *feiras. *hospitais. *lojas. *padarias. *parques. *restaurantes. *shoppings. *supermercado. *use seu fgts* minha casa minha vida!! Direto com a construtora!! Garanta ja sua unidade!! direto com a caixa economica!! Traga seus documentos para analise sem compromisso com a caixa econimica federal: rg. cpf. certidao de nascimento. comprovante de residencia. extrato do fgts. 3 ultimos holerites. declaracao de imposto de renda. carteira de trabalho. nao fique de fora!! Cadastre-se ja no programa minha casa minha vida e conquiste seu imovel tao sonhado!! Cadastre-se ja! Carrapa direto da construtora. (11) Ver dados",R$ 186.900,Giovanni Gronchi,Adolfo Pinheiro,2717,3506
Apartamento à Venda - em Santana,/propriedades/apartamento-a-venda-em-santana-2945862187.html,"Alfredo Pujol 1122, Santana, São Paulo",58 m² área total 58 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento 2 dormitórios, sala 2 ambientes, 2 banheiros, cozinha, área de serviço, 1 vaga de garagem. 58m². Excelente localização, próximo à Av. Braz Leme.",R$ 375.000,Santana,Santana,1592,1592
Apartamento A Venda em São Paulo,/propriedades/apartamento-a-venda-em-sao-paulo-2947779561.html,"Rua Santo Antônio 1046, Bela Vista, São Paulo",43 m² área total 43 m² área útil 1 Quarto 1 Banheiro,"Apartamento a venda em São Paulo à venda na Rua Santo Antônio, Bela Vista - São Paulo, sp. Preço: R$ Ver dados. 00. iptu/Ano: R$ 50. 00. Preço/m²: R$ 6023. 26. Condomínio: R$ 560. 00. Sobre o Imóvel: * Área 43 m² * Quartos: 1. * Banheiros: 1. * Vagas na garagem: 0. * Andar: 2. * Distância do metrô: 1420 metros. * Elevador no prédio: Sim. . * Diferenciais: - Armário Na Cozinha. - Área De Serviço. - Piso De madeira. - Banheiro Com Box. - Armário no Banheiro. - Piso Frio. . * Detalhes: - Portaria: Portaria 24 Horas. - Total de andares: 14. - Aptos por andar: 6. - Orientação: Lateral. - Sol: Tarde. Código do imóvel: Ver dados. . Conhece alguém querendo vender um imóvel? Indique para a EmCasa e ganhe dinheiro. Saiba mais em-imoveis",R$ 259.000,Higienopolis Mackenzie,Higienopolis Mackenzie,1313,1313
Apartamento para Venda Tem 65 m Quadrados Com 3 Quartos em Vila Sofia - Sp,/propriedades/apartamento-para-venda-tem-65-m-quadrados-com-3-2947667346.html,"Rua Duque Costa 495, Jardim Marajoara, São Paulo",65 m² área total 65 m² área útil 3 Quartos 1 Banheiro 1 Vaga,"O apartamento no bairro Vila Sofia possui 65 metros quadrados com 3 quartos e 1 banheiro. Possui espaço para festas, área de recreação infantil, jardim, espaço gourmet, academia. Vai lhe possibilitar praticar diversos esportes na quadra poliesportiva, curtir os dias mais quentes na piscina. Elevador para mais praticidade no dia-a-dia. Espaço reservado para preparar o seu churrasco. Está em um condomínio protegido por grades. - 05/02/2020",R$ 399.000,Adolfo Pinheiro,Adolfo Pinheiro,2705,2705
Apartamento à Venda - no Jabaquara,/propriedades/apartamento-a-venda-no-jabaquara-2944316462.html,"Jabaquara, São Paulo",55 m² área total 55 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Otimo apartamento localizado a 300 metros do metrô Jabaquara. Imóvel possui 02 dormitórios, 01 banheiro, cozinha, sala e 01 vaga de garagem. Na área de lazer possui salão de festas, sala de ginástica, playground, churrasqueira, piscina e quadra. Próximo a áreas comerciais, farmácias, escolas, bancos, hospitais, supermercados e demais serviços. Fácil acesso a Rodovia dos Imigrantes e Avenida dos Bandeirantes. Venha Conferir! Agende um horário com um de nossos corretores! 00: 08 13/2/2020",R$ 350.000,Conceicao,Conceicao,816,816
Oportunidade Ha 5 Min Do Metro Alvim 2 Dorm,/propriedades/oportunidade-ha-5-min-do-metro-alvim-2-dorm-2938817933.html,"Cidade Líder, São Paulo",41 m² área total 40 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Venha morar ao lado parque do carmo! (com e sem vaga) *Estamos indo pra terceira fase deste grande sucesso e tem novidades agora vamos ter algumas unidades mais acessíveis sem vaga. Excelente localização em um dois bairros mais conceituados de Itaquera. Fácil acesso e mobilidade são seus pontos fortes, varias linha de ônibus passam em frente ao condomínio, ampla rede de comercio a seu dispor a poucos passos, como padaria, loja de conveniências, escolas, faculdades, farmácias, e pra quem esta de carro ficara 13 min. Do shopping aricanduva, á 9 min. Do metro/shopping itaquera, 5 min. Do atacadao E carrefur, 5 min. Do hospital santa marcelina. São apartamento de 2 dorms com vaga, portaria 24hrs, lazer completo como- Piscina adulto e infantil, Acadêmia, Quadra poliesportiva, Fitness externo, Playground, Play Baby, Espaço Zen, Lounge externo, Espaço Pet, Mesas de apoios salão de festa, Praça de jogos. Entrada totalmente flexível que atendem as suas necessidades. Características. Andares: 18| Características do Imóvel: Acessibilidade, Cozinha Americana, Gás Encanado, Isolamento Acústico. Características das Áreas Comuns: Academia, Área de Lazer, Campo de Futebol, Churrasqueira, Copa, Espaço Gourmet, Hall de Entrada, Horta, Piscina, Playground, Quadra Poliesportiva, Sala de Ginástica, Salão de Festas, Salão de Jogos. Informações Complementares: minha casa minha vida, aprovação única com A caixa econÔmica federal *parcelamento flexível da sua entrada em até 36 meses no período de obras. *analise de credito gratuita traga sua documentação pra fazer sua simulação. *utilize seu fgtg. Informações: albuquerque / creci: 132. 071F. 11 Ver dados WhatsApp",R$ 164,Corinthians Itaquera,Corinthians Itaquera,3211,3211
"Apartamento Com 3 Dormitórios à Venda, 70 m² Por R$310.000 - Tatuapé - São Paulo/sp",/propriedades/apartamento-com-3-dormitorios-a-venda-70-m-sup2--por-2945090494.html,"Rua Antônio Macedo 325, Tatuapé, São Paulo",70 m² área total 70 m² área útil 3 Quartos 2 Banheiros,"Apartamento à venda no Tatuapé. Parabéns, você encontrou seu apartamento no Tatuapé! Apartamento com 3 dormitórios, sala ampla para dois ambientes, 2 banheiros (sendo um na lavanderia), cozinha com muitos armários e também possui um pequeno depósito. Prédio tem salão de festas e salão de jogos. Localização com fácil acesso à Marginal do rio Tietê, rodovia Airton Sena, avenida Celso Garcia. Fácil acesso ao centro. Próximo ao clube Corinthians, supermercados, padarias e todo comércio da região. A Century 21 Gold é especialista em locação, administração e vendas no Tatuapé. Consulte um de nossos corretores especialistas no bairro. Valores de condomínio e iptu sujeitos à alteração. - 12/02/2020",R$ 310.000,Carrao,Carrao,1809,1809
"Apto. - Av Zelina, 363, Vila Zelina",/propriedades/apto.-av-zelina-363-vila-zelina-2938063561.html,"Avenida Zelina, 363, Vila Zelina, São Paulo",102 m² área total 58 m² área útil 2 Quartos 2 Banheiros 1 Vaga,"Ótima oportunidade! Apartamento com 50% de desconto! Conta com ótima localização, próximo a estação Vila Prudente do metrô. O apartamento conta com a área útil de 58, 00m², no Condomínio edifício Natascha, possui sala com dois ambientes e varanda, dois dormitórios (um com sacada), cozinha, banheiro, área de serviço com wc e uma vaga na garagem. O condomínio edifício Natascha possui salão de festas, sala de jogos, piscina adulto e piscina infantil, quadra poliesportiva, e dois subsolos de garagens.",R$ 284.000,Vila Prudente,Vila Prudente,1245,1245
2 Dormitórios no Tatuapé Minha Casa Minha Vida,/propriedades/2-dormitorios-no-tatuape-minha-casa-minha-vida-2946484136.html,"Rua Ulisses Cruz, 298 , Tatuapé, São Paulo",54 m² área total 34 m² área útil 2 Quartos 1 Banheiro,"Agora, viver bem não custa muito, lazer não é privilégio e estar bem localizado não é para poucos. Viva Benx é moderno, inclusivo e acima de tudo, humano. Viva Benx Tatuapé tragara para você e sua família conforto, praticidade, locomoção pois fica próximo Av. Salim Farah Malu por um preço justo! Entrada facilitada. Use fgts",R$ 198.000,Tatuape,Tatuape,1577,1577
Flat Alameda Campinas Fora Do Pool,/propriedades/flat-alameda-campinas-fora-do-pool-2945251684.html,"AL CAMPINAS , Jardins, São Paulo",33 m² área total 33 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Entre a Alameda Lorena e a Rua Batatais, com acesso a Avenida Nove de Julho, Brigadeiro Luís Antônio e à Avenida Paulista. . Jardim Paulista é uma ótima escolha para viajantes interessados em Teatros, Restaurantes e Museus. . Para hospedes e moradores que queriam bons serviços e comodidade e também localização privilegiada. . O condomínio possui excelentes serviços e área de lazer: . - Academia. - Piscina. - Sauna. - Sala de Convenções. - Restaurante e Bar. - Lavanderia. - Portaria 24Hrs. - Estacionamento. - Excelente Localização. . Flat/Condo Hotel com excelente rentabilidade na locação convencional intermediada pela Só Flats ou locação através das Plataformas Digitais, gerando os melhores rendimentos do mercado e valorização do seu imóvel. . A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. . Não deixe de nos consultar. . Sujeito à confirmação de disponibilidade e valores, sem aviso prévio.",R$ 295.000,Trianon Masp,Trianon Masp,676,676
Residencial no Morumbi 1 Dorm 2 Vagas 58 m²,/propriedades/residencial-no-morumbi-1-dorm-2-vagas-58-m-sup2-2938271603.html,"R ITAITEVA 125, Jardim Ampliação, São Paulo",58 m² área total 58 m² área útil 1 Quarto 1 Banheiro 2 Vagas,"Localizado no Morumbi, O bairro possui uma infraestrutura completa e oferece aos moradores uma ampla rede de comércio e serviços com escolas, hipermercados, restaurantes, farmácias. Além dos renomados shoppings: Jardim Sul, Morumbi Shopping e Shopping sp Market. Sua localização é privilegiada, com fácil alcance a algumas das principais vias da cidade, como à Marginal dos Pinheiros, as avenidas Morumbi, a Giovanni Gronchi, Avenida Chucri Zaidan e Hebe Camargo. Além das diversas linhas de ônibus e das estações Morumbi e Cidade Jardim da cptm. Considerado um dos distritos mais arborizados, o bairro do Morumbi reúne as melhores opções de lazer para aproveitar todos os dias o verde que a região oferece nos parques e praças como: Praça Vinícius de Moraes, Parque Alfredo Volpi, Parque Burle Marx, Palácio dos Bandeirantes. Empreendimento com 2 Garagens: 1 ou 2 Suítes: 1 Área Privativa: 57 m² Área Total: 139 m² Flat/Condo Hotel com excelente rentabilidade na locação convencional intermediada pela Só Flats ou locação através das Plataformas Digitais, gerando os melhores rendimentos do mercado e valorização do seu imóvel. A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. Não deixe de nos consultar. Sujeito à confirmação de disponibilidade e valores, sem aviso prévio.",R$ 385.000,Giovanni Gronchi,Giovanni Gronchi,2566,2566
Apartamento 2 Dorms Jardim Planalto Sapopemba Minha Casa Minha Vida,/propriedades/apartamento-2-dorms-jardim-planalto-sapopemba-minha-2948292581.html,"Av. Sapopemba, 9988, Jardim Planalto, São Paulo",33 m² área total 32 m² área útil 2 Quartos 1 Banheiro,"Lançamento Jardim Planalto Sapopemba Zona Leste Entrada Fácil. Do Lado da Estação Planalto do Monotrilho. - 2 Dormitórios. - 1 Dormitório unidades de 26 a 32 metros. - Academia. - Churrasqueira. - Salão de Festas. - Brinquedoteca. - Playground. *Piso Laminado. *Piso Frio. *documentação itbi e Registro Grátis. Entrada a partir de R$499, 00. Parcelas a partir de R$399, 00. Entrada Facilitado Durante Obras. Financiamento Caixa, Use seu fgts. Entre em contato agenda sua visita. (11) Ver dados / (11) Ver dados. creci Ver dados F",R$ 159.400,Vila Uniao,Vila Uniao,933,933
Apartamento em Penha Com 2 Quartos - Aceita Fgts na Entrada,/propriedades/apartamento-em-penha-com-2-quartos-aceita-fgts-na-2945861441.html,"A. condessa Elisabete de rubiano 4610, Jardim América da Penha, São Paulo",3000 m² área total 40 m² área útil 2 Quartos 1 Banheiro,"Apenas 2 Torres - À partir de 177 mil. Entrada facilitada. Utilize seu fgts na compra do seu imóvel. academia, salão de festas, churrasqueira! Motivos para comprar o seu imóvel: Fácil acesso Parque Ecológico Tietê, Av. Tiquatira, Extra Marginal. Ótima localização. Financie com a Caixa ou Direto com a Construtora. Condomínio com amplo lazer. aprovação antecipada do seu financiamento com caixa",R$ 177.000,Vila Matilde,Penha,2545,3848
Apartanentos De 1 Dorms na Região Vila Das Belezas,/propriedades/apartanentos-de-1-dorms-na-regiao-vila-das-belezas-2945782403.html,"Rua Vilar de Figos, Vila Nova das Belezas, São Paulo",24 m² área total 24 m² área útil 1 Quarto 1 Banheiro,"Lançamento vila das belezas! Apartamentos, com 01 dorms, 24m2 ( Lazer Completo de Club) **serviços em gerais A poucos metros. supermercados, padarias, correios, cartórios, lotéricas, academias, pet shops, agências bancárias, feiras livres, pizzarias E muito mais. - centros de ensino E escolas. *particulares E públicas. - próximo da estação vila das belezas apenas 600 metros! Diversas opções para você! Diversos centros médicos E ubss, particulares E públicos. ótimas opções para você! Lazer Completo: Salão de Festas / Churrasqueira / Quadra / Playground, entre outros!",R$ 119.000,Vila Das Belezas,Vila Das Belezas,753,753
Apto. 2 Dorms. Repleto De Armários,/propriedades/apto.-2-dorms.-repleto-de-armarios-2939084612.html,"Rua Carolina Fonseca, Itaquera, São Paulo",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento em ótimo estado com 2 dorms., sala, cozinha, banheiro e área de serviços. Acabamento de bom gosto com sancas de gesso e repleto de armários, cook top, forno elétrico, etc. Possui uma vaga de garagem coberta e individual (não é dupla/presa), com possibilidade de continuar ocupando mais uma vaga, também individual, mediante o acréscimo de R$ 100, 00 no condomínio. Ótima localização, fica a poucos minutos do centro de Itaquera, Shopping e Metrô Itaquera, com fácil acesso de carro ou transporte público. O edifício possui sala de ginástica, salão de festas, salão de jogos, quadra poliesportiva, churrasqueira, bicicletário, playground, etc. Agende já sua visita, vale a pena conhecer!",R$ 310.000,Corinthians Itaquera,Corinthians Itaquera,3736,3736
"Apartamento em Localização Excelente para Venda Pronto para Morar no Campo Limpo, São Paulo",/propriedades/apartamento-em-localizacao-excelente-para-venda-pronto-2941190947.html,"Campo Limpo, São Paulo",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento em localização excelente para venda pronto para morar no Campo Limpo, São Paulo. Imóvel amplo com dois dormitórios, sala ampla, banheiro, cozinha, área de serviço e 1 vaga de garagem. Com ótimo acesso para Estrada do Campo Limpo, Francisco Morato, Regis Bittencourt e Taboão da serra com Padaria, mercado, bancos e etc. Condomínio completo (piscina, churrasqueira, quadra esportiva, jardins e playground), Condomínio está sendo todo reformado. Condomínio incluso a água. Aceita financiamento. Aceita permuta e contraproposta. Agende uma visita com um de nossos corretores. - Ref.: 273-imVer dados",R$ 200.000,Vila Das Belezas,Vila Das Belezas,1384,1384
More no Centro,/propriedades/more-no-centro-2948208965.html,"RUA BRIGADEIRO TOBIAS, 334, Centro, São Paulo",29 m² área total 29 m² área útil 1 Quarto 1 Banheiro 1 Vaga,Studios pronto para morar com vaga. Ultimas unidades!,R$ 275.000,Luz,Luz,360,360
Apartamento A Venda em São Paulo,/propriedades/apartamento-a-venda-em-sao-paulo-2946119865.html,"Rua Mituto Mizumoto 316, Liberdade, São Paulo",55 m² área total 55 m² área útil 2 Quartos 2 Banheiros 1 Vaga,"Apartamento a venda em São Paulo à venda na Rua Mituto Mizumoto, Liberdade - São Paulo, sp. Preço: R$ Ver dados. 00. iptu/Ano: R$ 0. 00. Preço/m²: R$ 6345. 45. Condomínio: R$ 600. 00. Sobre o Imóvel: * Área 55 m² * Quartos: 2. * Banheiros: 2. * Vagas na garagem: 1. * Andar: 1. * Distância do metrô: 832 metros. * Elevador no prédio: Sim. * Infraestrutura: - Salão De Festas. . * Diferenciais: - Armários Embutidos. - Varanda. . * Detalhes: - Portaria: Portaria 24 Horas. - Total de andares: 14. - Aptos por andar: 4. - Tipo de Vaga: Escritura. - Orientação: Fundos. - Sol: Tarde. Código do imóvel: Ver dados. . Conhece alguém querendo vender um imóvel? Indique para a EmCasa e ganhe dinheiro. Saiba mais em-imoveis",R$ 349.000,Japao Liberdade,Japao Liberdade,878,878
"Apartamento Com 2 Dormitórios à Venda, 63 m² Por R$330 - Jardim Marajoara - São Paulo/sp",/propriedades/apartamento-com-2-dormitorios-a-venda-63-m-sup2--por-2943702484.html,"Jardim Marajoara, São Paulo",63 m² área total 63 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento, próximo ao shopping Interlagos, 2 dormitórios, sala 2 ambientes, cozinha, área de serviço, quartos e cozinha com móveis planejados, área de lazer completa, ótima localização. Aceita financiamento. - 12/02/2020",R$ 340.000,Brooklin,Adolfo Pinheiro,3003,4636
Apartamento A Venda em Sacoma De 2 Quartos Com Entrada Facilitada,/propriedades/apartamento-a-venda-em-sacoma-de-2-quartos-com-entrada-2945889768.html,"Rua Professor Arnaldo João Semeraro, Jardim Santa Emília, São Paulo",3800 m² área total 40 m² área útil 2 Quartos 1 Banheiro,"Vendo apartamento de 2 quartos na zona sul - a 10 minutos do metro Sacoma. Projeto composto por 2 Torres. Amplo Lazer. Opção de apto com vaga e sem vaga. Escritura + itbi gratis. Entrada parcelada. Aprovaçao de credito em ate 24 horas. Apartamentos no Sacomã Não perca o lançamento da segunda fase e garanta os melhores benefícios. O Único Sacomã não é um sucesso de vendas por acaso. Seus apartamentos foram planejados para oferecer o máximo em conforto, sua área de lazer é ampla e conta com opções para toda a família, e sua localização é mais do que privilegiada: a apenas poucos minutos do metrô Sacomã. Utilize os benefícios do programa Minha Casa Minha Vida e garanta os melhores benefícios, além de subsídios de até R$29 mil. Confira!",R$ 175.000,Sacoma,Sacoma,6134,6134
"Investimento no Pool, The World Com Excelente Rentabilidade.",/propriedades/investimento-no-pool-the-world-com-excelente-2948239595.html,"R GOMES DE CARVALHO 1005, Brooklin, São Paulo",30 m² área total 30 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Localizado no elegante bairro da Vila Olímpia, próximo de diversos restaurantes sofisticados e clubes badalados, o Ed. The World favorece aos que visitam a metrópole a trabalho ou a passeio. . Como uma excelente opção de investimento, o Apart-hotel está a 5 km do Aeroporto de São Paulo/Congonhas e do Parque Ibirapuera e a 7 km dos museus e lojas na Avenida Paulista. . O edifício The World é muito procurado por sua localização e configuração do apartamento, tornando-se muito interessante para investimento. . O empreendimento dispõe: - Estacionamento. - Piscina externa. - Sauna. - Academia. - Lavanderia. - Restaurante. . Flat/Condo Hotel com excelente rentabilidade no investimento no sistema pool, gerando os melhores rendimentos do mercado e valorização do seu imóvel. . Solicite os rendimentos e comprove a rentabilidade conosco. . A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. . Não deixe de nos consultar. . Sujeito à confirmação de disponibilidade e valores, sem aviso prévio.",R$ 360.000,Eucaliptos,Eucaliptos,2744,2744
Apartamento Reformado E Com Suíte na Mooca,/propriedades/apartamento-reformado-e-com-suite-na-mooca-2948150392.html,"Maria Daffre , Mooca, São Paulo",60 m² área total 50 m² área útil 2 Quartos 2 Banheiros 1 Vaga,"Apartamento 2 dormitórios na Mooca abaixo do valor de mercado! Próximo a estação Vl Prudente do metrô e shopping Mooca. Prédio novo, acabamento de primeira linha! Sala 2 ambientes com varanda. 2 dormitórios sendo 1 suíte, ambos com armários planejados. Cozinha com armários. Aquecimento a gás. 1 vaga de garagem fixa e livre. Doc. Ok. 500m da estação Vila Prudente, 400m do Shopping Mooca e farto comércio local. Agende sua visita. Referencia desse imóvel. ref: am932.",R$ 310.000,Vila Prudente,Vila Prudente,1215,1215
Apartamento Vila Mariana 1 Dor Com Vaga,/propriedades/apartamento-vila-mariana-1-dor-com-vaga-2948250736.html,"Vila Mariana, São Paulo",32 m² área total 32 m² área útil 0 Quartos 1 Banheiro 1 Vaga,"Lindo Apartamento em uma das melhores regiões de são paulo, próximo a tudo que você precisa perto de você, com um preço que irá caber no seu bolso! Apartamento 01 dormitório na vila mariana, com sacada vaga E lazer. Restam apenas 04 unidades com vaga de garagem. as demais metragens não possuem vagas de garagem. não perca tempo entre em contato O mais rápido possível tiramos todas as suas dúvidas sem compromisso. seu crédito aprovado em até 01 hora! Use seu fgts como parte da entrada!",R$ 240.000,Vila Mariana,Vila Mariana,20,20
Apartamento - Jardim Ubirajara (Zona Sul),/propriedades/apartamento-jardim-ubirajara-zona-sul-2936234471.html,"Jardim Ubirajara (Zona Sul), São Paulo",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"R$ 270, 00 de condomínio iptu isento. Rua Zike Tuma-Jd Ubirajara. Ver dados sp/sp. Apartamento totalmente reformadíssimo. Apartamento para Venda. jardim ubirajara (zona sul), são paulo. 2 dormitórios, 1 sala, 1 banheiro, 1 vaga. 50, 00 construída, 50, 00 útil, 66, 00 total - 25/03/2018",R$ 324.000,Largo Treze,Largo Treze,6514,6514
